"","tmin","tmax","tmean"
"2017-03",-7.9,1.4,-3.3
"2017-04",-1,9.2,4.1
"2017-05",5.1,17.1,11.1
"2017-06",6.8,18.1,12.5
"2017-07",14.4,23.4,18.9
"2017-08",15.2,23.6,19.4
"2017-09",9,18.9,14
"2017-10",5.3,14,9.7
"2017-11",-1.8,7.2,2.7
"2017-12",-7.7,-0.5,-4.1
"2018-01",-11.5,-2.9,-7.2
"2018-02",-12.8,-2.5,-7.7
"2018-03",-4.1,7,1.5
"2018-04",1,12.6,6.8
"2018-05",5.4,16.5,11
"2018-06",9.7,20.3,15
"2018-07",14.4,26,20.2
"2018-08",15.3,25.4,20.4
"2018-09",11.4,19.1,15.3
"2018-10",4.7,14,9.4
"2018-11",0.4,9.1,4.8
"2018-12",-5.4,2.1,-1.7
"2019-01",-10.5,-2.1,-6.3
"2019-02",-9.6,1.2,-4.2
"2019-03",-6.9,3.9,-1.5
"2019-04",-2.9,7.2,2.2
"2019-05",4.1,17,10.6
"2019-06",8.1,18.4,13.3
"2019-07",13.7,22.2,18
"2019-08",15.6,25.2,20.4
"2019-09",12.1,21.5,16.8
"2019-10",6.9,15.8,11.4
"2019-11",-0.6,9.1,4.3
"2019-12",-4.9,3.5,-0.7
"2020-01",-6.2,0.5,-2.9
"2020-02",-7.8,1,-3.4
"2020-03",-5.9,5.5,-0.2
"2020-04",-3,6.7,1.9
"2020-05",5.5,17.3,11.4
"2020-06",10,20.1,15.1
"2020-07",13.8,20.3,17.1
"2020-08",15.1,25.7,20.4
"2020-09",11.9,20.5,16.2
"2020-10",3.9,12.8,8.4
"2020-11",-0.1,8.9,4.4
"2020-12",-5.7,1,-2.4
"2021-01",-8.7,-1.2,-5
"2021-02",-7.8,0.9,-3.5
"2021-03",-4.4,7.4,1.5
"2021-04",-1.2,9.7,4.3
"2021-05",4.7,15.6,10.2
"2021-06",8.5,19.3,13.9
"2021-07",14,23.7,18.9
"2021-08",15,23.6,19.3
"2021-09",10.4,19.5,15
"2021-10",5,15,10
"2021-11",-1,7.3,3.2
"2021-12",-6.5,1,-2.8
"2022-01",-12.4,-3.4,-7.9
"2022-02",-11.2,-3.1,-7.2
"2022-03",-5.5,4.9,-0.3
"2022-04",-0.3,12.2,6
"2022-05",4,15.5,9.8
"2022-06",9.5,19.2,14.4
"2022-07",14.3,23.8,19.1
"2022-08",14.9,23.8,19.4
"2022-09",12.3,22,17.2
"2022-10",3.9,13.5,8.7
"2022-11",0.8,9.6,5.2
"2022-12",-6.6,0,-3.3
"2023-01",-9.5,-1.8,-5.7
"2023-02",-9.4,0,-4.7
"2023-03",-3.9,7.8,2
"2023-04",0,11.6,5.8
"2023-05",4.6,16.1,10.4
"2023-06",9.6,18.7,14.2
"2023-07",14.2,24.5,19.4
"2023-08",16.2,27.1,21.7
"2023-09",13.7,22.8,18.3
"2023-10",3.3,13,8.2
"2023-11",-0.3,9.3,4.5
"2023-12",-5,3.4,-0.8
